Model Type,Training Data,Test Data,Accuracy,F1,AUC
"Ghostbuster (Depth Three, No Symbolic)",gpt_reuter,gpt_reuter,0.8485613326602726,0.8458376156217883,0.9204814091855695
"Ghostbuster (Depth Three, No Symbolic)",gpt_reuter,gpt_essay,0.6884984025559105,0.5995893223819302,0.8367069871893023
"Ghostbuster (Depth Three, No Symbolic)",gpt_reuter,claude_wp,0.7132352941176471,0.7547169811320755,0.78251310671402
"Ghostbuster (Depth Three, No Symbolic)",gpt_reuter,claude_reuter,0.7922803453529711,0.774407060121346,0.8705474147278417
"Ghostbuster (Depth Three, No Symbolic)",gpt_reuter,claude_essay,0.8192371475953566,0.793168880455408,0.9085537918871253
"Ghostbuster (Depth Three, No Symbolic)",gpt_essay,gpt_wp,0.572429906542056,0.6955074875207987,0.8539249743287234
"Ghostbuster (Depth Three, No Symbolic)",gpt_essay,gpt_reuter,0.7142857142857143,0.7605752961082911,0.8828439081402251
"Ghostbuster (Depth Three, No Symbolic)",gpt_essay,gpt_essay,0.8067092651757188,0.8,0.877966620731894
"Ghostbuster (Depth Three, No Symbolic)",gpt_essay,claude_wp,0.5514705882352942,0.6737967914438503,0.9277620738807953
"Ghostbuster (Depth Three, No Symbolic)",gpt_essay,claude_reuter,0.702386998476384,0.7474137931034482,0.842375331743032
"Ghostbuster (Depth Three, No Symbolic)",gpt_essay,claude_essay,0.8988391376451078,0.901453957996769,0.968694885361552
"Ghostbuster (Depth Three, No Symbolic)",claude_wp,gpt_wp,0.8294392523364486,0.804289544235925,0.9229643223875378
"Ghostbuster (Depth Three, No Symbolic)",claude_wp,gpt_reuter,0.7102473498233216,0.6046831955922864,0.8358462395134099
"Ghostbuster (Depth Three, No Symbolic)",claude_wp,gpt_essay,0.6198083067092651,0.3959390862944162,0.8384933394579697
"Ghostbuster (Depth Three, No Symbolic)",claude_wp,claude_wp,0.8995098039215687,0.8876712328767122,0.9740040105336909
"Ghostbuster (Depth Three, No Symbolic)",claude_wp,claude_reuter,0.6856272219400711,0.5524222704266089,0.8415130580253416
"Ghostbuster (Depth Three, No Symbolic)",claude_wp,claude_essay,0.8175787728026535,0.76890756302521,0.9580798059964726
"Ghostbuster (Depth Three, No Symbolic)",claude_reuter,gpt_wp,0.7429906542056075,0.7834645669291339,0.8946494505254419
"Ghostbuster (Depth Three, No Symbolic)",claude_reuter,gpt_reuter,0.8238263503281171,0.8266269249875808,0.908175919750178
"Ghostbuster (Depth Three, No Symbolic)",claude_reuter,gpt_essay,0.7412140575079872,0.6908396946564885,0.8455162558056449
"Ghostbuster (Depth Three, No Symbolic)",claude_reuter,claude_wp,0.7475490196078431,0.7831578947368422,0.910656906090696
"Ghostbuster (Depth Three, No Symbolic)",claude_reuter,claude_reuter,0.803453529710513,0.8016401845207586,0.8793952724681682
"Ghostbuster (Depth Three, No Symbolic)",claude_reuter,claude_essay,0.867330016583748,0.8571428571428571,0.9373567019400353
"Ghostbuster (Depth Three, No Symbolic)",claude_essay,gpt_wp,0.6565420560747663,0.7282809611829945,0.8839658298922899
"Ghostbuster (Depth Three, No Symbolic)",claude_essay,gpt_reuter,0.7672892478546188,0.7776169802219007,0.852776740932019
"Ghostbuster (Depth Three, No Symbolic)",claude_essay,gpt_essay,0.7699680511182109,0.7262357414448669,0.8736181289235951
"Ghostbuster (Depth Three, No Symbolic)",claude_essay,claude_wp,0.6691176470588235,0.7368421052631579,0.963349520427146
"Ghostbuster (Depth Three, No Symbolic)",claude_essay,claude_reuter,0.7531742001015744,0.7598814229249011,0.8348885240145811
"Ghostbuster (Depth Three, No Symbolic)",claude_essay,claude_essay,0.9203980099502488,0.9166666666666666,0.973831569664903
